T	M
3.17792528E+1	4.98326453E+0
3.18005777E+1	4.98162758E+0
3.18247813E+1	4.98620943E+0
3.18476762E+1	4.98547723E+0
3.18739875E+1	4.98455678E+0
3.19026434E+1	4.98198510E+0
3.19237750E+1	4.98040814E+0
3.19566434E+1	4.97423852E+0
3.19839879E+1	4.97290370E+0
3.20024063E+1	4.97172724E+0
3.20256180E+1	4.97075491E+0
3.20500571E+1	4.97012725E+0
3.20816171E+1	4.96815813E+0
3.21054532E+1	4.96448525E+0
3.21331990E+1	4.96351978E+0
3.21566597E+1	4.96343165E+0
3.21819526E+1	4.96120655E+0
3.22117632E+1	4.95882302E+0
3.22284880E+1	4.95804951E+0
3.22594278E+1	4.95610786E+0
3.22900519E+1	4.95445278E+0
3.23124234E+1	4.95342994E+0
3.23281059E+1	4.95291901E+0
3.23436034E+1	4.94995660E+0
3.23691984E+1	4.94809845E+0
3.23970939E+1	4.94544108E+0
3.24262294E+1	4.94454688E+0
3.24532433E+1	4.94372925E+0
3.24771243E+1	4.94232899E+0
3.25097723E+1	4.94103257E+0
3.25319509E+1	4.94045626E+0
3.25637449E+1	4.93803769E+0
3.25924526E+1	4.93667603E+0
3.26165736E+1	4.93463976E+0
3.26466318E+1	4.93290170E+0
3.26703808E+1	4.93093414E+0
3.26980432E+1	4.93029154E+0
3.27280602E+1	4.92936534E+0
3.27474062E+1	4.92365795E+0
3.27718440E+1	4.92461820E+0
3.27984457E+1	4.92260908E+0
3.28244540E+1	4.91818074E+0
3.28438081E+1	4.91745569E+0
3.28725576E+1	4.92329503E+0
3.28915879E+1	4.92243903E+0
3.29218804E+1	4.92414255E+0
3.29433559E+1	4.91845498E+0
3.29613468E+1	4.91864441E+0
3.29920795E+1	4.91530266E+0
3.30133903E+1	4.91443182E+0
3.30392122E+1	4.91263762E+0
3.30665980E+1	4.91176846E+0
3.30876043E+1	4.90902540E+0
3.31164912E+1	4.90668978E+0
3.31351926E+1	4.90488470E+0
3.31625561E+1	4.90348414E+0
3.31935065E+1	4.90437047E+0
3.32117542E+1	4.90311241E+0
3.32402833E+1	4.90142014E+0
3.32696389E+1	4.89996908E+0
3.32897099E+1	4.90018677E+0
3.33080595E+1	4.89881835E+0
3.33332136E+1	4.89762278E+0
3.33679017E+1	4.90248163E+0
3.33883171E+1	4.89577076E+0
3.34177361E+1	4.89207746E+0
3.34368704E+1	4.89234007E+0
3.34718465E+1	4.88663956E+0
3.34866414E+1	4.88827859E+0
3.35072428E+1	4.88549992E+0
3.35284984E+1	4.88341520E+0
3.35492313E+1	4.87972895E+0
3.35836563E+1	4.87801455E+0
3.36008445E+1	4.88165586E+0
3.36306410E+1	4.87948923E+0
3.36466066E+1	4.87712687E+0
3.36589495E+1	4.87618551E+0
3.36821337E+1	4.87413120E+0
3.37063098E+1	4.87203200E+0
3.37231028E+1	4.86697574E+0
3.37545110E+1	4.86565240E+0
3.37774206E+1	4.86429755E+0
3.37969957E+1	4.86527313E+0
3.38289161E+1	4.86371977E+0
3.38500340E+1	4.86325743E+0
3.38804887E+1	4.85942392E+0
3.39020199E+1	4.86562959E+0
3.39299235E+1	4.86297595E+0
3.39575159E+1	4.86142005E+0
3.39755922E+1	4.86180845E+0
3.39912274E+1	4.85683834E+0
3.40194272E+1	4.85847148E+0
3.40456145E+1	4.85520631E+0
3.40685165E+1	4.85344836E+0
3.40925824E+1	4.85083077E+0
3.41237625E+1	4.85379901E+0
3.41319467E+1	4.85190634E+0
3.41701404E+1	4.85119510E+0
3.41920351E+1	4.84905385E+0
3.42129447E+1	4.85066353E+0
3.42395138E+1	4.84519989E+0
3.42464015E+1	4.83964641E+0
3.42590469E+1	4.83689468E+0
3.42823276E+1	4.83446357E+0
3.43022470E+1	4.83669967E+0
3.43258859E+1	4.83617462E+0
3.43537404E+1	4.83679328E+0
3.43815808E+1	4.83398657E+0
3.43978576E+1	4.83298859E+0
3.44299546E+1	4.83186232E+0
3.44573489E+1	4.82800744E+0
3.44847347E+1	4.83140493E+0
3.45016784E+1	4.83130581E+0
3.45227549E+1	4.82829939E+0
3.45575874E+1	4.82728789E+0
3.45827415E+1	4.82495322E+0
3.46081278E+1	4.82583590E+0
3.46271931E+1	4.82293273E+0
3.46605851E+1	4.82032491E+0
3.46758759E+1	4.81912850E+0
3.47060574E+1	4.81793574E+0
3.47281121E+1	4.81561290E+0
3.47550154E+1	4.81452974E+0
3.47809272E+1	4.81052407E+0
3.48075776E+1	4.81692554E+0
3.48329659E+1	4.80677118E+0
3.48607244E+1	4.80280735E+0
3.48898872E+1	4.86642253E+0
3.49104954E+1	4.80474206E+0
3.49427164E+1	4.81613181E+0
3.49724519E+1	4.81740193E+0
3.49994658E+1	4.80389151E+0
3.50269631E+1	4.80224062E+0
3.50486321E+1	4.79674915E+0
3.50793254E+1	4.80134032E+0
3.51015316E+1	4.82613530E+0
3.51279262E+1	4.85383990E+0
3.51637702E+1	4.84253869E+0
3.51862645E+1	4.84584440E+0
3.52111016E+1	4.83320372E+0
3.52481398E+1	4.81590765E+0
3.52707299E+1	4.81962157E+0
3.52917403E+1	4.84078560E+0
3.53239240E+1	4.82991527E+0
3.53374651E+1	4.82720718E+0
3.53761592E+1	4.84005122E+0
3.53939848E+1	4.79964782E+0
3.54222239E+1	4.78304425E+0
3.54447744E+1	4.77593452E+0
3.54763849E+1	4.78445828E+0
3.54974615E+1	4.78243481E+0
3.55181263E+1	4.78390252E+0
3.55383901E+1	4.78120489E+0
3.55577659E+1	4.78735547E+0
3.55835124E+1	4.77591460E+0
3.56156305E+1	4.77203421E+0
3.56328224E+1	4.76766070E+0
3.56574389E+1	4.76668016E+0
3.56843977E+1	4.76758873E+0
3.57051974E+1	4.76809172E+0
3.57188765E+1	4.77068927E+0
3.57434811E+1	4.76655394E+0
3.57555761E+1	4.75132693E+0
3.57805381E+1	4.76037963E+0
3.57993142E+1	4.75832047E+0
3.58305782E+1	4.75181802E+0
3.58550436E+1	4.75241995E+0
3.58865893E+1	4.75453295E+0
3.59013016E+1	4.75173432E+0
3.59286815E+1	4.75010632E+0
3.59533672E+1	4.75013971E+0
3.59804958E+1	4.75043817E+0
3.60097551E+1	4.75089711E+0
3.60388259E+1	4.75197277E+0
3.60626438E+1	4.74812243E+0
3.60923387E+1	4.75469652E+0
3.61075882E+1	4.75903311E+0
3.61328812E+1	4.74407380E+0
3.61657358E+1	4.74762416E+0
3.61829159E+1	4.74851213E+0
3.62154678E+1	4.74641338E+0
3.62393493E+1	4.75099581E+0
3.62546389E+1	4.74968577E+0
3.62778183E+1	4.74877882E+0
3.63007663E+1	4.74404556E+0
3.63225050E+1	4.74078486E+0
3.63401115E+1	4.74385593E+0
3.63636829E+1	4.73716481E+0
3.63935538E+1	4.73835965E+0
3.64129911E+1	4.73844106E+0
3.64356900E+1	4.73973149E+0
3.64572901E+1	4.73396806E+0
3.64842257E+1	4.73277107E+0
3.65080712E+1	4.73574640E+0
3.65325315E+1	4.77375849E+0
3.65582091E+1	4.78245310E+0
3.65858023E+1	4.70536116E+0
3.66000737E+1	4.68573884E+0
3.66204187E+1	4.68586988E+0
3.66378447E+1	4.68147869E+0
3.66566894E+1	4.68660894E+0
3.66838685E+1	4.67971113E+0
3.67054134E+1	4.68103165E+0
3.67320002E+1	4.68310088E+0
3.67635667E+1	4.68038664E+0
3.67807035E+1	4.68159470E+0
3.68118216E+1	4.67617479E+0
3.68364109E+1	4.67442164E+0
3.68535331E+1	4.67305262E+0
3.68753949E+1	4.67201732E+0
3.68932050E+1	4.67746425E+0
3.69157831E+1	4.67781363E+0
3.69428237E+1	4.68991741E+0
3.69642998E+1	4.68923372E+0
3.69885461E+1	4.68708048E+0
3.70143477E+1	4.68466597E+0
3.70450530E+1	4.68435622E+0
3.70601924E+1	4.68044430E+0
3.70943485E+1	4.67981291E+0
3.71126837E+1	4.67648935E+0
3.71349372E+1	4.68084598E+0
3.71578597E+1	4.67827653E+0
3.71862159E+1	4.67663751E+0
3.72006664E+1	4.67481255E+0
3.72196556E+1	4.67979703E+0
3.72353038E+1	4.67994129E+0
3.72481144E+1	4.66912754E+0
3.72636530E+1	4.66768379E+0
3.72904576E+1	4.66513759E+0
3.73047128E+1	4.66264487E+0
3.73281751E+1	4.66224434E+0
3.73451251E+1	4.66029129E+0
3.73736130E+1	4.65991989E+0
3.74045811E+1	4.65828885E+0
3.74287847E+1	4.65818642E+0
3.74520938E+1	4.65722758E+0
3.74753056E+1	4.65536189E+0
3.74828821E+1	4.65447117E+0
3.75058597E+1	4.65254164E+0
3.75287767E+1	4.65165442E+0
3.75479522E+1	4.64953020E+0
3.75721271E+1	4.64911053E+0
3.75942506E+1	4.64734309E+0
3.76148835E+1	4.64526886E+0
3.76455065E+1	4.64231870E+0
3.76743933E+1	4.64511076E+0
3.76901388E+1	4.64231932E+0
3.77141358E+1	4.64359978E+0
3.77358598E+1	4.64014087E+0
3.77672121E+1	4.63890345E+0
3.77881371E+1	4.64067987E+0
3.78069286E+1	4.63793688E+0
3.78285011E+1	4.63579747E+0
3.78511352E+1	4.63136547E+0
3.78713301E+1	4.63113586E+0
3.78884126E+1	4.62698213E+0
3.79022984E+1	4.63036778E+0
3.79248069E+1	4.62911463E+0
3.79413238E+1	4.62602962E+0
3.79426867E+1	4.62467858E+0
3.79650031E+1	4.62520644E+0
3.79631047E+1	4.62716241E+0
3.79939481E+1	4.62342154E+0
3.80169658E+1	4.62380847E+0
3.80345020E+1	4.62062701E+0
